DateTime,Humidity Change 12 hours before,Precipation Rate,Scaled Humidity
2020:03:10:18,-15,0,4
2020:03:11:00,3,0,5
2020:03:11:06,-2,0,2
2020:03:11:12,-17,0,-12
2020:03:11:18,-18,0,-16
2020:03:12:00,6,0,-6
2020:03:12:06,27,0,11
2020:03:12:12,2,0,-4
2020:03:12:18,0,0,11
2020:03:13:00,16,15,12
2020:03:13:06,9,45,20
2020:03:13:12,-10,15,2
2020:03:13:18,0,195,20
2020:03:14:00,16,45,18
2020:03:14:06,0,45,20
2020:03:14:12,-10,0,8
2020:03:14:18,-14,60,6
2020:03:15:00,-5,0,3
2020:03:15:06,14,165,20
2020:03:15:12,0,0,3
2020:03:15:18,0,300,20
2020:03:16:00,17,3045,20
2020:03:16:06,0,4620,20
2020:03:16:12,0,5010,20
2020:03:16:18,0,1830,20
2020:03:17:00,0,225,20
2020:03:17:06,0,225,20
2020:03:17:12,0,240,20
2020:03:17:18,0,240,20
2020:03:18:00,-8,0,12
2020:03:18:06,-2,15,18
2020:03:18:12,-7,0,5
2020:03:18:18,-12,0,6
2020:03:19:00,6,0,11
2020:03:19:06,7,0,13
2020:03:19:12,-10,0,1
2020:03:19:18,-4,0,9
2020:03:20:00,13,0,14
2020:03:20:06,6,15,15
2020:03:20:12,-23,0,-9
2020:03:20:18,-21,0,-6
2020:03:21:00,10,0,1
2020:03:21:06,17,0,11
2020:03:21:12,-10,0,-9
2020:03:21:18,-18,0,-7
2020:03:22:00,21,0,12
2020:03:22:06,26,390,19
2020:03:22:12,-7,1290,5
2020:03:22:18,-2,525,17
2020:03:23:00,13,270,18
2020:03:23:06,-1,600,16
2020:03:23:12,-4,1650,14
2020:03:23:18,4,330,20
2020:03:24:00,6,105,20
2020:03:24:06,-9,360,11
2020:03:24:12,-15,180,5
2020:03:24:18,-5,30,6
2020:03:25:00,8,0,13
2020:03:25:06,6,540,12
2020:03:25:12,-7,0,6
2020:03:25:18,-21,15,-9
2020:03:26:00,14,0,20
2020:03:26:06,29,540,20
2020:03:26:12,-4,1245,16
2020:03:26:18,-8,0,12
2020:03:27:00,-5,0,11
2020:03:27:06,8,15,20
2020:03:27:12,-20,0,-9
2020:03:27:18,-36,0,-16
2020:03:28:00,16,0,7
2020:03:28:06,36,15,20
2020:03:28:12,-16,0,-9
2020:03:28:18,-30,0,-10
2020:03:29:00,16,0,7
2020:03:29:06,28,0,18
2020:03:29:12,-11,0,-4
2020:03:29:18,-5,0,13
2020:03:30:00,14,0,10
2020:03:30:06,3,225,16
2020:03:30:12,5,840,15
2020:03:30:18,-2,1800,14
2020:03:31:00,-2,1860,13
2020:03:31:06,0,6495,14
2020:03:31:12,-5,675,8
2020:03:31:18,-2,120,12
2020:04:01:00,3,2685,11
2020:04:01:06,4,4860,16
2020:04:01:12,9,1950,20
2020:04:01:18,4,30,20
2020:04:02:00,0,135,20
2020:04:02:06,-3,765,17
2020:04:02:12,-2,1200,18
2020:04:02:18,0,90,17
2020:04:03:00,-9,0,9
2020:04:03:06,-11,0,6
2020:04:03:12,-6,0,3
2020:04:03:18,-13,0,-7
2020:04:04:00,-15,0,-12
2020:04:04:06,5,0,-2
2020:04:04:12,4,0,-8
2020:04:04:18,12,0,10
2020:04:05:00,14,0,6
2020:04:05:06,3,0,13
2020:04:05:12,-17,0,-11
2020:04:05:18,-3,0,10
2020:04:06:00,12,0,1
2020:04:06:06,10,15,20
2020:04:06:12,3,0,4
2020:04:06:18,0,0,20
2020:04:07:00,12,0,16
2020:04:07:06,-3,0,17
2020:04:07:12,-14,0,2
2020:04:07:18,-3,15,14
2020:04:08:00,9,0,11
2020:04:08:06,2,0,16
2020:04:08:12,-12,0,-1
2020:04:08:18,-16,0,0
2020:04:09:00,13,0,12
2020:04:09:06,15,0,15
2020:04:09:12,-11,0,1
2020:04:09:18,-16,0,-1
2020:04:10:00,4,0,5
2020:04:10:06,4,0,3
2020:04:10:12,-7,0,-2
2020:04:10:18,5,0,8
2020:04:11:00,17,0,15
2020:04:11:06,1,45,9
2020:04:11:12,-17,0,-2
2020:04:11:18,-17,0,-8
2020:04:12:00,20,0,18
2020:04:12:06,18,0,10
2020:04:12:12,-15,0,3
2020:04:12:18,-7,0,3
2020:04:13:00,2,75,5
2020:04:13:06,9,270,12
2020:04:13:12,4,855,9
2020:04:13:18,7,15,19
2020:04:14:00,9,30,18
2020:04:14:06,1,615,20
2020:04:14:12,-24,870,-6
2020:04:14:18,-35,0,-15
2020:04:15:00,-4,0,-10
2020:04:15:06,21,0,6
2020:04:15:12,8,90,-2
2020:04:15:18,3,525,9
2020:04:16:00,13,45,11
2020:04:16:06,0,15,9
2020:04:16:12,-23,0,-12
2020:04:16:18,-6,45,3
2020:04:17:00,24,0,12
2020:04:17:06,3,0,6
2020:04:17:12,-18,0,-6
2020:04:17:18,-7,15,-1
2020:04:18:00,24,0,18
2020:04:18:06,20,15,19
2020:04:18:12,-16,705,2
2020:04:18:18,-7,3480,12
2020:04:19:00,18,2805,20
2020:04:19:06,8,1485,20
2020:04:19:12,0,2775,20
2020:04:19:18,0,1425,20
2020:04:20:00,0,1305,20
2020:04:20:06,0,1455,20
2020:04:20:12,-3,1305,17
2020:04:20:18,0,60,20
2020:04:21:00,2,0,19
2020:04:21:06,0,1560,20
2020:04:21:12,1,2325,20
2020:04:21:18,0,735,20
2020:04:22:00,0,930,20
2020:04:22:06,0,15,20
2020:04:22:12,0,375,20
2020:04:22:18,0,0,20
2020:04:23:00,0,30,20
2020:04:23:06,0,150,20
2020:04:23:12,-6,15,14
2020:04:23:18,-2,0,18
2020:04:24:00,4,0,18
2020:04:24:06,-3,405,15
2020:04:24:12,-15,0,3
2020:04:24:18,-8,0,7
2020:04:25:00,11,0,14
2020:04:25:06,12,0,19
2020:04:25:12,-5,0,9
2020:04:25:18,-10,0,9
2020:04:26:00,11,15,20
2020:04:26:06,11,15,20
2020:04:26:12,-12,15,8
2020:04:26:18,-9,0,11
2020:04:27:00,12,0,20
2020:04:27:06,8,225,19
2020:04:27:12,-8,1665,12
2020:04:27:18,1,375,20
2020:04:28:00,7,0,19
2020:04:28:06,-1,0,19
2020:04:28:12,-12,0,7
2020:04:28:18,-5,0,14
2020:04:29:00,13,0,20
2020:04:29:06,3,0,17
2020:04:29:12,-21,0,-1
2020:04:29:18,-14,0,3
2020:04:30:00,6,0,5
2020:04:30:06,10,0,13
2020:04:30:12,-15,0,-10
2020:04:30:18,-18,0,-5
2020:05:01:00,16,0,6
2020:05:01:06,15,0,10
2020:05:01:12,-8,360,-2
2020:05:01:18,-5,0,5
2020:05:02:00,10,0,8
2020:05:02:06,11,0,16
2020:05:02:12,-21,0,-13
2020:05:02:18,-23,0,-7
2020:05:03:00,15,0,2
2020:05:03:06,19,0,12
2020:05:03:12,-20,0,-18
2020:05:03:18,-35,0,-23
2020:05:04:00,21,0,3
2020:05:04:06,30,0,7
2020:05:04:12,-27,0,-24
